bug_id,review_iterations,comment_times,comment_words,reviewer_cnt,reviewer_comment_rate,non_author_voters,neg_review_rate,response_delay,review_duration,feedback_count,neg_feedbacks,feedback_delay,review_status
1047121,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.35,0.35,0.0,0.0,-1.0,+
1047123,1.0,1.0,2.0,1.0,0.0,1.0,0.0,16.94,16.94,0.0,0.0,-1.0,+
1263558,0.88,1.88,19.38,0.88,0.12,0.88,-0.12,11.19,11.19,0.12,0.12,-0.8,?
1077849,1.0,2.0,38.0,1.0,0.0,1.0,0.0,7.73,7.73,0.0,0.0,-1.0,+
1073545,1.0,0.0,0.0,1.0,0.0,0.33,0.0,0.43,0.43,0.0,0.0,-1.0,+
1077842,1.0,0.0,0.0,1.0,1.0,1.0,0.0,12.03,12.03,0.0,0.0,-1.0,+
1262014,1.0,6.0,142.0,1.0,0.0,1.0,0.0,92.22,92.22,0.0,0.0,-1.0,+
1231832,1.0,4.0,8.0,1.0,0.0,1.0,0.0,4.25,4.25,0.0,0.0,-1.0,+
1059321,1.0,0.0,0.0,1.0,1.0,1.0,0.0,354.02,354.02,0.0,0.0,-1.0,+
1167975,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.03,0.03,0.0,0.0,-1.0,+
1058051,1.0,2.0,22.0,1.0,0.0,1.0,0.0,7.59,7.59,0.0,0.0,-1.0,+
1141815,1.0,1.0,2.0,1.0,0.0,1.0,0.0,8.97,8.97,0.0,0.0,-1.0,+
1141817,1.0,0.5,2.5,1.0,0.0,1.0,0.0,0.14,0.14,0.0,0.0,-1.0,+
1221844,1.0,1.0,2.5,1.0,0.0,1.0,0.0,6.87,6.87,0.0,0.0,-1.0,+
1141819,1.0,1.0,6.0,1.0,0.0,1.0,0.0,663.15,663.15,0.0,0.0,-1.0,+
1221840,0.67,8.33,94.0,0.67,0.0,0.33,-0.33,34.01,34.01,0.33,0.0,3.03,+
1221842,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.15,0.15,0.0,0.0,-1.0,+
1185550,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.52,0.52,0.0,0.0,-1.0,+
1185558,1.0,2.0,14.0,1.0,0.0,1.0,0.0,21.82,21.82,0.0,0.0,-1.0,+
1259169,0.8,5.2,67.4,0.8,0.2,0.8,0.0,27.22,27.22,0.2,0.0,6.09,?
1066227,0.83,8.0,104.33,0.83,0.0,0.83,-0.17,327.47,327.47,0.17,0.0,27.03,+
1066229,1.0,12.33,120.33,1.0,0.0,1.0,0.0,345.97,345.97,0.0,0.0,-1.0,+
1099416,1.0,1.0,2.0,1.0,0.0,1.0,0.0,68.43,68.43,0.0,0.0,-1.0,+
