bug_id,max_pos,min_neg,overall,owner_pos,owner_neg,manager_pos,manager_neg
1047876,1,-4,-3,1,-4,0,0
1047877,1,-1,0,0,0,0,0
1047326,3,-1,2,0,0,0,0
1049865,3,-3,11,0,0,1,-1
1048719,2,-1,1,0,0,0,0
1048245,1,-2,-1,1,-2,0,0
1048246,1,-2,-2,1,-2,0,0
1048247,1,-2,-1,1,-2,0,0
1048240,1,-2,-1,1,-2,0,0
1047442,2,-3,-6,1,-2,1,-1
1048242,1,-2,-2,1,-2,0,0
1048243,1,-2,-1,1,-2,0,0
1050318,2,-3,-1,0,0,0,0
1050456,2,-2,0,2,-2,0,0
1048968,2,-2,-1,2,-2,0,0
1048888,1,-2,-1,0,0,0,0
1048741,2,-4,-3,1,-1,0,0
1048291,1,-2,-1,1,-2,0,0
1046578,3,-4,-12,0,0,0,0
1046470,2,-2,0,2,-2,0,0
1046473,2,-2,0,0,0,0,0
1049961,3,-4,1,2,-4,0,0
1046477,2,-2,-4,0,0,0,0
1047195,1,-2,-2,0,0,0,0
1048563,3,-1,2,0,0,0,0
1048562,2,-2,0,1,-1,0,0
1050254,2,-2,1,0,0,0,0
1046342,2,-2,-1,0,0,0,0
1047614,1,-1,0,1,-1,0,0
1046344,2,-3,-1,0,0,0,0
1049691,2,-3,-1,0,0,0,0
1049694,1,-1,0,0,0,0,0
1047657,3,-1,6,0,0,0,0
1048306,2,-1,1,0,0,0,0
1048666,2,-4,-3,0,0,0,0
1048667,4,-3,3,3,-3,0,0
1048664,2,-1,3,0,0,0,0
1047713,3,-2,-3,2,-2,0,0
1048668,1,-1,0,0,0,0,0
1047717,1,-1,0,0,0,0,0
1049879,3,-2,5,3,-2,0,0
1048064,2,-1,2,2,-1,0,0
1047266,3,-3,-5,0,0,0,0
1049599,2,-2,-2,0,0,0,0
1048108,3,-3,2,0,0,2,-2
1049041,3,-4,-10,3,-4,0,0
1047107,2,-2,-1,2,-2,0,0
1048107,1,-2,-1,1,-2,0,0
1049596,1,-3,-3,0,0,1,-1
1047268,2,-1,3,0,0,0,0
1050654,2,-4,-2,0,0,0,0
1050652,1,-3,-4,0,0,0,0
1046950,2,-2,2,0,0,0,0
1050383,3,-3,0,3,-3,0,0
1050384,2,-2,3,2,-2,0,0
1049326,1,-1,0,0,0,0,0
1050386,4,-4,8,3,-2,0,0
1047620,1,-3,-3,0,0,0,0
1046761,3,-2,3,3,-2,0,0
1046688,2,-2,1,0,0,0,0
1047628,1,-4,-3,0,0,0,0
1048615,3,-4,-6,0,0,1,-1
1049969,2,-1,2,2,-1,0,0
1049962,2,-2,1,0,0,0,0
1049744,3,-2,2,0,0,0,0
1049323,1,-2,-1,0,0,0,0
1049740,3,-3,1,3,-3,1,-1
1048618,2,-4,-5,0,0,0,0
1050031,4,-2,6,2,-2,0,0
1050036,3,-3,-3,0,0,0,0
1050037,1,-1,0,1,-1,0,0
1050035,3,-4,1,0,0,0,0
1047403,3,-3,2,0,0,0,0
1049981,1,-2,-2,1,-2,0,0
1048209,2,-2,1,2,-1,0,0
1049825,3,-4,0,3,-2,0,0
1047568,1,-2,-1,1,-1,0,0
1050104,2,-2,0,1,-2,0,0
1047564,2,-2,1,0,0,0,0
1047560,2,-1,1,1,-1,0,0
1049133,1,-3,-10,0,0,0,0
1049136,2,-3,1,0,0,0,0
1049138,3,-4,-10,3,-4,1,-2
1047842,4,-4,-2,2,-3,0,0
1050664,3,-3,10,3,-1,0,0
1047848,2,-2,6,2,-2,0,0
1047928,3,-3,3,3,-3,0,0
1046430,3,-2,0,1,-1,0,0
1046828,3,-4,-9,3,-2,1,-2
1050040,1,-2,-1,0,0,0,0
1047924,1,-1,0,1,-1,0,0
1049521,3,-5,-14,1,-1,0,0
1050049,3,-3,-1,2,-2,1,-2
1048721,2,-1,1,0,0,0,0
1048720,2,-3,0,0,0,0,0
1048724,3,-3,-5,0,0,0,0
1047316,3,-3,-7,0,0,1,-1
1048441,3,-4,3,0,0,0,0
1048330,2,-3,-2,2,-3,1,-2
1047494,2,-2,0,2,-2,0,0
1047495,1,-2,-2,0,0,0,0
1047696,2,-2,2,1,-1,0,0
1047698,2,-3,-1,2,-2,0,0
1049593,3,-1,3,2,-1,0,0
1047148,2,-2,0,0,0,0,0
1047149,2,-3,-17,0,0,1,-2
1049552,2,-3,-3,2,-1,0,0
1049551,3,-4,-16,3,-4,0,0
1046314,3,-2,5,0,0,0,0
1048384,3,-3,-1,3,-3,0,0
1048437,3,-2,1,2,-1,0,0
1048435,1,-2,-2,0,0,0,0
1047220,2,-2,0,1,-2,0,0
1048923,2,-2,0,0,0,0,0
1050348,3,-3,13,3,-3,0,0
1048048,3,-4,3,3,-4,0,0
1050613,3,-3,-3,0,0,0,0
1050346,3,-2,2,0,0,1,-1
1050611,1,-2,-1,1,-2,0,0
1050340,2,-4,-6,2,-3,0,0
1046915,2,-4,-2,2,-1,0,0
1046647,3,-4,1,3,-4,0,0
1046644,3,-4,2,2,-2,0,0
1046645,3,-4,-9,3,-2,2,-2
1049510,1,-1,0,1,-1,0,0
1049960,3,-2,1,0,0,0,0
1049250,2,-2,0,0,0,1,-2
1047669,2,-2,1,1,-2,0,0
1049256,2,-4,-6,2,-4,0,0
1047743,2,-3,-6,1,-2,0,0
1047663,3,-4,-5,2,-2,0,0
1049318,1,-3,-2,0,0,0,0
1048659,3,-2,3,3,-2,0,0
1049091,3,-3,-3,1,-1,0,0
1049095,3,-4,3,3,-4,2,-2
1049311,3,-3,0,1,-3,0,0
