bug_id,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment,page_rank,betweenness,closeness,indegree,outdegree
1118372,340.0,2.0,27.0,3.0,0.04,1.36,56.49,1.13,1.0,11.0
1071771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1042338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1071774,809.0,3.0,39.0,4.0,0.1,1.71,3856.71,1.21,4.0,16.0
1071777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1230163,2075.0,7.0,66.0,8.0,0.12,5.92,1559127.67,1.66,27.0,112.5
1234773,675.0,2.0,27.33,1.33,0.1,1.99,2507.42,1.69,11.0,21.0
1268674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1268677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1234778,388.0,5.0,14.0,4.0,0.08,1.42,4965.67,1.69,2.0,16.0
1087145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1077002,14223.0,4.0,612.0,6.0,0.15,9.71,2912205.83,1.84,73.0,180.0
1260084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1144509,4318.0,3.0,222.0,4.0,0.14,8.1,890212.95,1.84,36.0,81.0
1144505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1144507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1144501,446.0,8.0,5.0,6.0,0.41,1.47,7.47,1.83,2.0,19.0
1222174,239.0,1.0,1.0,0.0,0.7,3.94,50495.34,1.1,23.5,29.0
1222175,70.0,1.0,2.0,0.0,0.14,1.69,17529.01,1.74,4.5,8.5
1222170,59.0,1.0,2.0,0.0,0.17,9.68,0.0,1.74,2.0,1.0
1222171,95.0,0.0,0.0,0.0,0.78,42.87,57427.59,1.74,154.0,2.0
1222172,63.0,1.0,2.0,0.0,0.34,1.25,0.0,1.74,0.0,16.0
1053135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1122447,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.49,0.0,0.0
1276852,749.0,3.0,40.0,2.0,0.15,1.55,10084.43,1.03,3.0,11.5
1276850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1237492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1279887,9048.0,4.0,301.0,7.0,0.17,33.52,5900697.45,1.65,195.0,144.0
1137780,1578.92,1.92,107.83,2.75,0.24,8.85,138807.83,1.65,22.86,27.07
1279889,1215.0,3.0,40.0,3.0,0.08,5.5,292339.91,1.65,67.0,32.0
1121417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1223808,1000.38,2.62,42.0,2.38,0.3,1.93,26764.33,1.55,7.0,26.93
1063962,1393.42,3.81,60.39,3.25,0.29,15.73,587742.98,1.54,48.25,26.53
1045739,375.0,9.0,6.0,3.0,0.32,1.59,22810.51,1.96,4.0,21.0
1295434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1060431,5389.0,3.0,234.0,5.0,0.14,24.68,1478597.61,1.92,109.0,103.0
1295439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1060437,1520.06,1.35,329.0,1.76,0.15,2.21,13206.65,1.52,6.48,13.32
1182946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1137437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1182945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1062683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1210803,1207.0,4.0,60.67,2.67,0.12,10.51,96102.5,1.77,31.67,36.0
1075253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1075251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1181916,7987.5,2.5,343.5,4.0,0.23,9.91,2409954.7,1.77,80.0,174.0
1233208,271.0,1.0,10.0,0.0,2.16,2.78,317208.24,1.69,5.0,14.0
1121936,2284.0,2.0,179.0,3.0,0.14,8.09,11732.19,1.87,39.0,43.0
